Continent_Name,Continent_Code,Country_Name,Three_Letter_Country_Code,pop2010
Africa,AF,"Tunisia, Tunisian Republic",TUN,10635245.0
Europe,EU,"Turkey, Republic of",TUR,72326992.0
Asia,AS,"Turkey, Republic of",TUR,72326992.0
Asia,AS,Turkmenistan,TKM,5087211.0
North America,,Turks and Caicos Islands,TCA,32658.0
Oceania,OC,Tuvalu,TUV,10521.0
Africa,AF,"Uganda, Republic of",UGA,32428164.0
Europe,EU,Ukraine,UKR,45870741.0
Europe,EU,"Macedonia, The Former Yugoslav Republic of",MKD,2055004.0
Africa,AF,"Egypt, Arab Republic of",EGY,82761244.0
Europe,EU,United Kingdom of Great Britain & Northern Ireland,GBR,62766365.0
Europe,EU,Isle of Man,IMN,84856.0
Africa,AF,"Tanzania, United Republic of",TZA,44346532.0
North America,,United States of America,USA,309327143.0
North America,,United States Virgin Islands,VIR,108357.0
Africa,AF,Burkina Faso,BFA,15605211.0
South America,SA,"Uruguay, Eastern Republic of",URY,3359273.0
Asia,AS,"Uzbekistan, Republic of",UZB,28562400.0
South America,SA,"Venezuela, Bolivarian Republic of",VEN,28439942.0
Oceania,OC,"Samoa, Independent State of",WSM,185944.0
Asia,AS,Yemen,YEM,23154854.0
Africa,AF,"Zambia, Republic of",ZMB,13605986.0
